City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BANKURA,1901,37.453,52.894,4.141,31.954,74.431,101.047,256.43,330.305,338.097,33.991,30.562,0
BANKURA,1902,4.672,0.362,24.794,90.076,95.682,133.025,311.975,294.003,253.342,34.695,1.036,7.562
BANKURA,1903,6.505,29.02,15.483,28.815,48.985,172.009,146.106,246.179,251.598,143.973,0.565,0.032
BANKURA,1904,0.036,17.881,69.819,4.558,244.712,359.137,397.947,375.343,110.341,41.381,2.777,0.466
BANKURA,1905,18.351,59.472,85.173,79.793,118.645,53.966,462.617,245.951,321.853,56.593,0,0.694
BANKURA,1906,32.466,130.605,55.941,0.506,47.904,209.839,352.259,228.892,197.798,105.294,4.179,0.744
BANKURA,1907,0.036,42.762,86.636,81.643,69.105,265.425,180.109,272.953,122.838,14.19,0,6.844
BANKURA,1908,18.26,42.315,6.372,3.364,53.279,403.367,437.383,386.254,141.374,75.753,0.37,0.03
BANKURA,1909,11.209,16.998,0.301,137.889,48.606,333.487,277.663,352.18,191.692,41.694,1.888,8.193
BANKURA,1910,11.861,43.496,29.094,29.041,57.845,205.991,235.823,343.648,254.4,98.022,11.657,0
BANKURA,1911,0.127,1.172,54.114,25.908,44.981,516.526,101.642,262.344,215.94,91.106,26.953,0
BANKURA,1912,0.048,17.746,64.568,49.065,76.607,204.857,271.321,314.768,89.149,52.903,39.908,0
BANKURA,1913,0.257,62.391,49.33,19.26,130.457,476.422,294.638,365.693,136.604,114.067,7.536,6.528
BANKURA,1914,0.036,56.565,26.018,87.389,131.654,171.795,306.89,329.725,146.093,7.492,0,13.701
BANKURA,1915,4.656,27.433,76.473,24.449,74.202,236.533,231.274,370.431,248.83,66.87,39.285,0
BANKURA,1916,0.036,7.325,0.742,28.185,41.395,446.619,227.106,439.895,298.305,247.983,12.654,0
BANKURA,1917,1.331,75.803,26.875,32.541,145.349,232.33,268.832,445.938,168.221,246.321,4.017,0.211
BANKURA,1918,1.962,0.299,18.903,65.561,99.812,298.539,148.067,379.922,207.475,4.654,0.37,4.911
BANKURA,1919,30.201,36.208,24.455,68.514,93.075,254.879,285.868,579.514,111.229,74.982,20.16,0
BANKURA,1920,0.036,38.858,128.264,1.486,46.691,123.369,451.377,454.008,189.632,64.06,0.162,0
BANKURA,1921,50.352,5.359,11.967,41.025,31.684,242.678,256.915,483.03,129.644,8.804,0,0
BANKURA,1922,9.298,6.964,0.303,24.269,26.733,418.72,342.582,438.484,424.999,61,5.564,0.904
BANKURA,1923,0.7,100.798,17.157,13.069,12.06,136.551,368.039,497.1,166.578,71.549,10.919,2.397
BANKURA,1924,13.178,17.148,0.731,28.8,22.078,208.911,290.225,343.115,233.373,82.628,37.007,0
BANKURA,1925,43.011,14.988,12.118,54.382,72.731,352.483,367.359,339.159,159.04,105.422,10.115,0.941
BANKURA,1926,26.745,5.797,120.383,29.786,110.865,92.692,476.255,479.102,175.284,70.302,2.765,10.413
BANKURA,1927,16.733,107.758,50.442,26.57,64.398,236.543,256.862,298.402,146.445,52.395,12.717,0
BANKURA,1928,39.686,1.594,2.722,65.14,104.863,417.206,456.925,336.1,183.258,117.361,0.112,0.786
BANKURA,1929,30.036,15.109,42.338,34.121,33.253,156.107,282.493,317.576,173.153,264.577,0,8.452
BANKURA,1930,0.176,20.019,8.563,19.765,56.764,186.804,398.526,327.592,185.895,25.262,40.201,3.298
BANKURA,1931,13.762,95.325,37.147,14.06,83.493,146.417,351.866,308.522,269.137,106.119,14.133,1.313
BANKURA,1932,0.036,55.293,10.832,22.598,151.905,76.15,338.25,292.544,207.277,58.648,40.045,0.926
BANKURA,1933,46.75,28.422,2.976,80.249,108.129,305.377,314.916,410.736,201.032,150.217,0.085,0
BANKURA,1934,6.637,36.925,3.262,38.607,28.491,209.566,228.872,427.612,258.481,84.068,21.054,3.338
BANKURA,1935,14.895,20.641,17.558,51.232,6.214,156.968,220.569,441.858,189.129,12.321,0,2.089
BANKURA,1936,7.918,27.369,22.014,6.297,164.537,323.424,279.318,237.203,391.19,137.79,1.286,16.711
BANKURA,1937,0.036,75.779,10.228,41.659,74.554,255.595,291.684,375.199,266.321,158.746,1.419,0.884
BANKURA,1938,5.333,32.553,8.668,3.34,201.322,266.912,167.29,291.727,113.503,66.952,1.116,0
BANKURA,1939,10.427,21.946,12.718,27.121,30.814,201.39,382.458,468.441,252.899,131.328,3.44,0.429
BANKURA,1940,0.036,31.698,159.677,12.893,83.97,187.342,246.726,383.651,254.096,47.308,0.032,1.905
BANKURA,1941,38.782,0.388,11.068,13.83,53.34,332.283,309.198,559.277,194.93,157.691,35.202,0
BANKURA,1942,0.747,73.047,21.416,33.687,9.658,106.712,357.59,414.329,395.442,87.937,3.747,0.03
BANKURA,1943,46.616,20.569,12.575,120.605,48.023,185.767,426.251,491.03,183.187,60.102,0.222,0
BANKURA,1944,24.077,48.47,88.847,31.205,43.424,192.631,311.951,555.141,132.123,93.149,0.032,0
BANKURA,1945,28.158,30.942,8.568,66.416,72.098,168.062,198.786,187.915,265.805,193.128,0,1.496
BANKURA,1946,0.036,4.195,20.551,44.219,95.463,228.026,254.943,366.912,382.239,156.887,30.58,0.443
BANKURA,1947,10.1,30.943,39.122,7.172,65.42,228.187,335.036,347.813,331.078,74.65,0,11.769
BANKURA,1948,11.528,46.376,76.509,27.383,63.305,198.019,279.184,357.862,201.814,109.583,51.312,0.443
BANKURA,1949,0.928,16.639,30.941,85.736,158.906,272.417,302.933,353.056,237.443,110.328,0,0
BANKURA,1950,0.046,9.72,53.811,30.563,43.297,366.474,285.553,306.445,165.52,81.429,43.739,2.734
BANKURA,1951,4.627,0.309,97.464,51.591,36.554,203.293,278.348,344.784,274.3,79.63,21.294,0
BANKURA,1952,0.241,8.731,50.477,85.784,41.603,242.36,277.052,285.338,204.445,99.488,3.545,0.895
BANKURA,1953,45.087,18.413,7.83,7.318,26.266,205.455,208.382,359.591,304.24,35.835,6.968,0
BANKURA,1954,15.263,19.241,1.358,5.038,90.148,277.146,125.37,264.04,292.458,59.297,0,8.558
BANKURA,1955,27.585,9.372,9.752,13.257,20.345,184.721,218.892,240.765,244.495,218.096,32.577,0
BANKURA,1956,9.517,65.076,33.345,16.753,107.415,386.901,277.531,346.292,331.713,122.245,5.573,2.481
BANKURA,1957,51.889,23.856,17.531,22.422,6.928,113.957,366.083,254.459,225.154,62.952,0,0
BANKURA,1958,14.644,62.178,21.307,41.891,24.187,120.556,371.019,256.469,250.564,129.345,10.936,0
BANKURA,1959,11.079,7.752,7.802,43.327,65.389,198.286,218.985,276.11,272.692,250.035,0,1.002
BANKURA,1960,0.622,0.299,53.868,9.772,46.202,139.8,441.322,400.127,206.354,74.543,1.847,0.185
BANKURA,1961,25.875,125.021,2.9,2.843,66.795,211.452,142.892,432.777,327.134,106.359,0.167,2.865
BANKURA,1962,13.093,16.015,4.631,22.048,37.395,175.739,245.501,231.691,183.45,99.414,0,1.152
BANKURA,1963,0.694,3.511,36.842,56.386,127.997,244.376,257.205,285.34,244.158,185.857,9.048,0
BANKURA,1964,0.241,11.816,24.404,75.261,82.61,144.566,444.445,377.171,196.597,73.372,22.347,0
BANKURA,1965,2.482,28.928,24.582,65.847,29.92,130.722,318.603,342.784,244.963,69.984,0.375,1.749
BANKURA,1966,55.024,8.833,3.471,5.007,9.809,208.298,98.345,253.153,189.553,38.555,19.17,12.066
BANKURA,1967,22.073,1.146,67.487,38.186,39.309,182.823,221.505,422.888,207.137,48.291,0,1.854
BANKURA,1968,15.605,26.206,18.919,11.843,8.967,396.883,360.001,505.717,145.883,78.928,17.14,1.252
BANKURA,1969,5.464,5.784,27.746,82.654,76.445,132.882,314.101,412.776,218.701,49.944,16.546,0.032
BANKURA,1970,15.848,28.155,59.521,14.297,45.994,287.043,254.78,288.124,266.838,129.325,10.333,0
BANKURA,1971,36.328,68.651,3.104,147.077,145.627,396.007,467.763,539.923,272.532,145.466,7.754,0
BANKURA,1972,5.649,48.754,1.464,39.92,7.943,72.718,251.014,499.631,211.194,135.12,11.319,0.478
BANKURA,1973,3.523,9.011,42.331,15.134,132.237,303.021,183.19,358.068,409.46,179.205,18.795,26.326
BANKURA,1974,1.395,0.34,97.009,8.718,74.2,101.289,367.041,316.7,319.443,183.815,2.884,0.047
BANKURA,1975,7.63,14.986,22.398,7.358,54.244,187.86,353.391,263.116,221.53,137.209,14.659,0
BANKURA,1976,0.079,25.327,9.635,62.427,88.585,76.756,381.739,317.437,312.143,9.463,2.767,0
BANKURA,1977,3.708,37.107,0.354,74.883,201.867,341.518,459.191,337.117,191.018,65.432,29.527,23.877
BANKURA,1978,0.947,66.677,67.747,87.678,86.456,235.045,329.953,345.419,497.924,103.654,16.085,10.708
BANKURA,1979,30.558,43.806,8.318,52.603,21.551,100.75,330.162,240.022,191.546,40.715,11.183,24.722
BANKURA,1980,36.008,38.038,79.547,2.938,82.452,308.401,306.297,351.427,104.468,77.418,0.448,1.202
BANKURA,1981,18.104,41.774,77.231,86.23,133.978,102.286,378.591,231.798,241.011,1.411,4.224,6.702
BANKURA,1982,8.85,23.973,68.481,92.459,48.671,118.02,177.703,459.925,176.229,7.741,12.181,1.019
BANKURA,1983,3.509,47.133,56.25,44.836,126.65,191.434,264.649,307.087,126.517,136.305,0.482,2.29
BANKURA,1984,34.773,15.925,1.17,60.721,47.471,603.996,307.862,408.552,146.02,68.563,0.032,0
BANKURA,1985,15.265,6.667,0.472,29.414,37.69,168.411,419.87,292.782,163.196,120.953,0.054,1.149
