City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BANKURA,1901,17.97,21.334,26.523,31.712,32.202,32.075,28.83,28.26,28.071,27.048,21.739,18.1
BANKURA,1902,19.304,21.54,28.05,29.945,31.773,31.343,28.291,28.699,28.324,26.327,21.515,17.922
BANKURA,1903,19.092,20.611,26.948,31.629,33.581,30.709,29.313,28.32,28.031,26.142,21.093,17.255
BANKURA,1904,18.45,21.011,27.169,31.998,31.217,29.839,27.817,28.083,28.095,26.182,21.398,18.735
BANKURA,1905,18.249,18.904,25.173,28.574,30.625,32.965,28.291,28.349,27.829,26.294,21.7,18.011
BANKURA,1906,18.449,20.779,24.896,31.926,32.946,31.225,28.718,28.159,28.422,26.318,21.738,18.641
BANKURA,1907,19.401,21.064,24.941,28.818,31.631,30.644,28.618,28.002,28.162,26.461,21.958,17.608
BANKURA,1908,17.346,21.234,26.904,33.092,32.681,30.711,28.233,27.781,28.119,26.517,21.092,17.132
BANKURA,1909,19.945,21.34,27.784,28.778,32.472,29.443,28.145,27.65,28.031,26.122,22.469,18.45
BANKURA,1910,18.342,20.938,26.731,31.226,32.285,30.091,28.192,27.98,28.072,25.964,20.862,17.154
BANKURA,1911,20.221,20.562,25.877,30.705,32.575,29.562,29.215,27.976,27.731,26.069,21.919,16.977
BANKURA,1912,19.025,22.115,26.897,29.669,31.883,31.098,28.19,28.097,28.171,26.124,20.892,17.196
BANKURA,1913,18.161,21.14,25.396,32.001,31.108,28.663,28.342,27.711,28.116,25.586,20.701,17.552
BANKURA,1914,18.62,21.715,26.256,28.83,30.753,29.77,27.989,27.928,27.83,25.591,21.739,18.403
BANKURA,1915,19.025,21.313,25.874,30.762,31.983,30.375,29.241,28.828,28.01,27.419,23.371,17.986
BANKURA,1916,18.323,21.611,27.829,31.051,34.311,29.49,28.541,28.179,28.117,26.462,21.736,17.336
BANKURA,1917,18.023,20.897,25.602,30.326,30.151,29.731,28.371,28.023,27.734,26.098,21.398,17.635
BANKURA,1918,17.426,21.077,27.226,29.846,31.031,28.74,29.679,27.747,28.332,26.551,22.181,17.96
BANKURA,1919,19.696,20.609,27.501,30.572,32.353,29.95,28.488,28.107,28.017,26.075,21.898,17.812
BANKURA,1920,18.904,21.14,26.271,30.776,32.134,31.905,28.308,28.104,27.953,26.545,22.018,17.706
BANKURA,1921,19.039,20.894,27.628,31.311,34.412,30.933,28.696,27.877,27.868,25.242,20.684,18.605
BANKURA,1922,18.649,21.575,27.625,31.753,33.384,29.247,28.067,27.677,27.287,25.014,21.33,17.656
BANKURA,1923,18.357,20.886,25.956,31.162,32.979,32.113,28.316,27.655,28.156,25.74,21.37,18.501
BANKURA,1924,18.825,21.511,28.093,32.126,32.817,32.69,28.489,28.106,27.456,26.422,21.295,17.683
BANKURA,1925,17.447,20.084,26.471,30.047,32.12,30.608,27.751,28.38,28.01,25.484,21.518,17.404
BANKURA,1926,18.299,21.842,25.677,29.827,32.194,33.472,28.529,27.956,27.909,25.716,20.619,18.552
BANKURA,1927,18.948,21.288,25.404,31.647,31.849,31.593,28.471,28.083,28.254,26.517,21.892,18.786
BANKURA,1928,19.03,21.833,27.905,30.625,32.302,29.618,28.176,28.48,28.588,26.643,21.82,18.528
BANKURA,1929,19.022,20.336,26.953,30.896,33.585,31.824,27.869,27.776,28.077,25.405,21.242,17.693
